阿魏,a'wei
矮地茶,ai'di'cha
嗳腐,ai'fu
艾附暖宫丸,ai'fu'nuan'gong'wan
艾蒿,ai'hao
艾片,ai'pian
嗳气吞酸,ai'qi'tun'suan
艾条,ai'tiao
艾叶,ai'ye
艾叶油,ai'ye'you
安多霖胶囊,an'duo'lin'jiao'nang
安宫牛黄丸,an'gong'niu'huang'wan
暗经,an'jing
安络化纤丸,an'luo'hua'xian'wan
安神,an'shen
安胎,an'tai
安息香,an'xi'xiang
桉油,an'you
奥尕,ao'ga
傲然自得,ao'ran'zi'de
八宝丹胶囊,ba'bao'dan'jiao'nang
巴豆,ba'dou
巴豆霜,ba'dou'shuang
拔毒膏,ba'du'gao
八法,ba'fa
八纲,ba'gang
八纲辨证,ba'gang'bian'zheng
巴戟肉,ba'ji'rou
巴戟天,ba'ji'tian
八角,ba'jiao
八角枫,ba'jiao'feng
八角茴香,ba'jiao'hui'xiang
八角茴香油,ba'jiao'hui'xiang'you
八角莲,ba'jiao'lian
八厘麻,ba'li'ma
菝契,ba'qi
八月札,ba'yue'zha
八珍颗粒,ba'zhen'ke'li
八珍汤,ba'zhen'tang
八正木通与车前,ba'zheng'mu'tong'yu'che'qian
八正散,ba'zheng'san
白贝齿,bai'bei'chi
白背叶,bai'bei'ye
白扁豆,bai'bian'dou
白病,bai'bing
白驳风病,bai'bo'feng'bing
百部,bai'bu
百草霜,bai'cao'shuang
白丑,bai'chou
白豆蔻,bai'dou'kou
败毒散,bai'du'san
白矾,bai'fan
白茯苓,bai'fu'ling
白附片,bai'fu'pian
白附子,bai'fu'zi
白果,bai'guo
白果仁,bai'guo'ren
百合,bai'he
百合病,bai'he'bing
白河车,bai'he'che
百合固金二地黄,bai'he'gu'jin'er'di'huang
百合固金汤,bai'he'gu'jin'tang
白喉,bai'hou
白虎膏知甘草粳,bai'hu'gao'zhi'gan'cao'jing
白虎加仓术汤,bai'hu'jia'cang'zhu'tang
白虎加桂枝汤,bai'hu'jia'gui'zhi'tang
白虎加人参汤,bai'hu'jia'ren'shen'tang
白胡椒,bai'hu'jiao
白虎汤,bai'hu'tang
白滑,bai'hua
白花蛇,bai'hua'she
白花蛇舌草,bai'hua'she'she'cao
白及,bai'ji
白芨,bai'ji
白蒺藜,bai'ji'li
白降,bai'jiang
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白降丹,bai'jiang'dan
白胶木,bai'jiao'mu
白胶香,bai'jiao'xiang
百节,bai'jie
白芥子,bai'jie'zi
白睛青蓝病,bai'jing'qing'lan'bing
白睛溢血病,bai'jing'yi'xue'bing
白菊花,bai'ju'hua
白蔻,bai'kou
白蔻仁,bai'kou'ren
百乐眠胶囊,bai'le'mian'jiao'nang
白雷丸,bai'lei'wan
百里霜,bai'li'shuang
白蔹,bai'lian
百两金,bai'liang'jin
百令胶囊,bai'ling'jiao'nang
白马骨,bai'ma'gu
白茅根,bai'mao'gen
白茅花,bai'mao'hua
白毛藤,bai'mao'teng
白蜜,bai'mi
白膜侵睛病,bai'mo'qin'jing'bing
白木耳,bai'mu'er
白腻,bai'ni
白平子,bai'ping'zi
白前,bai'qian
白前甘草共为末,bai'qian'gan'cao'gong'wei'mo
白茄根,bai'qie'gen
白求,bai'qiu
白屈菜,bai'qu'cai
百日咳,bai'ri'ke
百蕊草,bai'rui'cao
白涩病,bai'se'bing
白商陆,bai'shang'lu
白芍,bai'shao
白芍麸炒,bai'shao'fu'chao
白芍生,bai'shao'sheng
白参,bai'shen
白石英,bai'shi'ying
白首乌,bai'shou'wu
白苏,bai'su
白苏子,bai'su'zi
白苔,bai'tai
白通汤,bai'tong'tang
白头翁,bai'tou'weng
白头翁加甘草阿胶汤,bai'tou'weng'jia'gan'cao'e'jiao'tang
白头翁汤,bai'tou'weng'tang
白头翁汤治热痢,bai'tou'weng'tang'zhi're'li
白头须,bai'tou'xu
白秃疮病,bai'tu'chuang'bing
白兔根,bai'tu'gen
白土苓,bai'tu'ling
白微,bai'wei
白薇,bai'wei
白鲜皮,bai'xian'pi
百芯草,bai'xin'cao
败血冲心证,bai'xue'chong'xin'zheng
败血入胞证,bai'xue'ru'bao'zheng
百药煎,bai'yao'jian
白药子,bai'yao'zi
白英,bai'ying
白云花根,bai'yun'hua'gen
白芷,bai'zhi
白术,bai'zhu
白术冬术,bai'zhu'dong'zhu
柏子仁,bai'zi'ren
柏子养心丸,bai'zi'yang'xin'wan
半边莲,ban'bian'lian
半边旗,ban'bian'qi
半表半里,ban'biao'ban'li
半枫荷,ban'feng'he
瘢痕,ban'hen
斑黄阳毒皆可治,ban'huang'yang'du'jie'ke'zhi
板兰根,ban'lan'gen
板蓝根,ban'lan'gen
板兰根颗粒,ban'lan'gen'ke'li
板栗壳,ban'li'ke
斑蝥,ban'mao
斑蟊,ban'mao
半天雷,ban'tian'lei
半夏,ban'xia
半夏白木天麻汤,ban'xia'bai'mu'tian'ma'tang
半夏白术天麻汤,ban'xia'bai'zhu'tian'ma'tang
半夏参草大枣姜,ban'xia'can'cao'da'zao'jiang
半夏厚朴汤,ban'xia'hou'po'tang
半夏厚朴痰气疏,ban'xia'hou'pu'tan'qi'shu
半夏曲,ban'xia'qu
半夏人参甘草从,ban'xia'ren'shen'gan'cao'cong
半夏人参橘茯苓,ban'xia'ren'shen'ju'fu'ling
半夏糖浆,ban'xia'tang'jiang
半夏泻心黄连芩,ban'xia'xie'xin'huang'lian'qin
半夏泻心汤,ban'xia'xie'xin'tang
斑蛰,ban'zhe
斑疹,ban'zhen
半支莲,ban'zhi'lian
半枝莲,ban'zhi'lian
蚌花,bang'hua
暴病,bao'bing
保产无忧散,bao'chan'wu'you'san
暴喘病,bao'chuan'bing
保肺清心治暑淫,bao'fei'qing'xin'zhi'shu'yin
暴风客热病,bao'feng'ke're'bing
保妇康栓,bao'fu'kang'shuan
胞宫,bao'gong
胞宫寒凝证,bao'gong'han'ning'zheng
胞宫虚寒证,bao'gong'xu'han'zheng
豹骨,bao'gu
保和神曲与山楂,bao'he'shen'qu'yu'shan'zha
保和丸,bao'he'wan
保济丸,bao'ji'wan
胞睑外翻病,bao'jian'wai'fan'bing
暴厥,bao'jue
包块型,bao'kuai'xing
暴聋,bao'long
暴聋病,bao'long'bing
胞轮振跳病,bao'lun'zhen'tiao'bing
暴马子,bao'ma'zi
暴盲,bao'mang
暴盲病,bao'mang'bing
胞门,bao'men
暴仆,bao'pu
暴热,bao're
胞肉粘轮病,bao'rou'zhan'lun'bing
胞生痰核病,bao'sheng'tan'he'bing
暴受惊恐证,bao'shou'jing'kong'zheng
暴吐病,bao'tu'bing
暴脱,bao'tuo
暴泻,bao'xie
暴泻病,bao'xie'bing
胞虚如球病,bao'xu'ru'qiu'bing
胞衣,bao'yi
胞衣不下,bao'yi'bu'xia
胞衣不下病,bao'yi'bu'xia'bing
暴瘖,bao'yin
保阴煎,bao'yin'jian
保元汤,bao'yuan'tang
胞脏,bao'zang
胞肿如桃病,bao'zhong'ru'tao'bing
暴注,bao'zhu
胞阻,bao'zu
北柴胡,bei'chai'hu
北朝红参,bei'chao'hong'shen
贝齿,bei'chi
北豆根,bei'dou'gen
贝母,bei'mu
贝母瓜蒌散,bei'mu'gua'lou'san
贝母花,bei'mu'hua
背强,bei'qiang
北沙参,bei'sha'shen
北玄参,bei'xuan'shen
北野菊,bei'ye'ju
贝子,bei'zi
奔豚,ben'tun
奔豚气,ben'tun'qi
崩漏病,beng'lou'bing
荜拔,bi'ba
荜茇,bi'ba
痹病,bi'bing
闭病,bi'bing
荜拨,bi'bo
荜澄茄,bi'cheng'qie
必当安神定志,bi'dang'an'shen'ding'zhi
鼻疔病,bi'ding'bing
鼻窦炎口服液,bi'dou'yan'kou'fu'ye
鼻疳病,bi'gan'bing
鼻槁病,bi'gao'bing
鼻鼾,bi'han
壁虎,bi'hu
萆解分清石菖蒲,bi'jie'fen'qing'shi'chang'pu
闭经病,bi'jing'bing
鼻梁内陷血脉损伤证,bi'liang'nei'xian'xue'mai'sun'shang'zheng
蓖麻油,bi'ma'you
蓖麻子,bi'ma'zi
避年,bi'nian
鼻衄,bi'nv
鼻衄病,bi'nv'bing
荸荠,bi'qi
痹气郁结证,bi'qi'yu'jie'zheng
鼻鼽病,bi'qiu'bing
鼻塞病,bi'se'bing
鼻塞咽干,bi'se'yan'gan
鼻煽,bi'shan
鼻伤衄血证,bi'shang'nv'xue'zheng
鼻损伤病,bi'sun'shang'bing
鼻为肺窍,bi'wei'fei'qiao
鼻息肉病,bi'xi'rou'bing
必先诊候以审之,bi'xian'zhen'hou'yi'shen'zhi
萆薢,bi'xie
萆薢分清饮,bi'xie'fen'qing'yin
痹欣片,bi'xin'pian
鼻炎片,bi'yan'pian
必有大段要急之处,bi'you'da'duan'yao'ji'zhi'chu
碧玉散,bi'yu'san
鼻渊,bi'yuan
鼻渊病,bi'yuan'bing
鼻渊胶囊,bi'yuan'jiao'nang
