暗韵,an'yun
拗句,ao'ju
奥区,ao'qu
半眠半醒,ban'mian'ban'xing
半醒半眠,ban'xing'ban'mian
北端,bei'duan
北至,bei'zhi
本属,ben'shu
彼处,bi'chu
必得之心,bi'de'zhi'xin
比附,bi'fu
髀肉,bi'rou
鄙意,bi'yi
别业,bie'ye
别择,bie'ze
宾主,bin'zhu
秉持,bing'chi
冰凙,bing'duo
禀赋,bing'fu
秉公,bing'gong
并世,bing'shi
并无不可,bing'wu'bu'ke
并无倚傍,bing'wu'yi'bang
擘划,bo'hua
薄技,bo'ji
博文约礼,bo'wen'yue'li
驳正,bo'zheng
不比寻常,bu'bi'xun'chang
不辍,bu'chuo
不逮,bu'dai
不犯刑宪,bu'fan'xing'xian
不构成,bu'gou'cheng
不遑,bu'huang
不继,bu'ji
补记,bu'ji
不济事,bu'ji'shi
不近情理,bu'jin'qing'li
不可比,bu'ke'bi
不可不察,bu'ke'bu'cha
不可解,bu'ke'jie
不可逆,bu'ke'ni
不可恃,bu'ke'shi
不可数计,bu'ke'shu'ji
不可谓,bu'ke'wei
不可谓不,bu'ke'wei'bu
不愆不忘,bu'qian'bu'wang
不失为,bu'shi'wei
不外乎,bu'wai'hu
不为无据,bu'wei'wu'ju
不限此,bu'xian'ci
不相符,bu'xiang'fu
不相下,bu'xiang'xia
不晓,bu'xiao
不怿,bu'yi
不予显示,bu'yu'xian'shi
不在此列,bu'zai'ci'lie
不彰,bu'zhang
不自知,bu'zi'zhi
采择,cai'ze
参话头,can'hua'tou
参照系,can'zhao'xi
参酌,can'zhuo
厕身,ce'shen
曾见,ceng'jian
觇测,chan'ce
躔度,chan'du
蒇功,chan'gong
羼入,chan'ru
蒇事,chan'shi
惝怳,chang'huang
怅叹,chang'tan
畅衍,chang'yan
偿愿,chang'yuan
超脱,chao'tuo
抻拉,chen'la
晨朝,chen'zhao
成办,cheng'ban
枨触,cheng'chu
成理,cheng'li
成色不足,cheng'se'bu'zu
成习,cheng'xi
成疑,cheng'yi
乘舆,cheng'yu
乘愿再来,cheng'yuan'zai'lai
迟速,chi'su
迟至,chi'zhi
重省,chong'xing
酬答,chou'da
抽丝剥茧,chou'si'bo'jian
酬赠,chou'zeng
初尝,chu'chang
除患,chu'huan
出之,chu'zhi
纯然,chun'ran
辞费,ci'fei
此念,ci'nian
词派,ci'pai
此是,ci'shi
词学,ci'xue
次一级,ci'yi'ji
佽助,ci'zhu
词作,ci'zuo
从俗,cong'su
摧辱,cui'ru
刌度,cun'du
忖量,cun'liang
撮抄,cuo'chao
挫辱,cuo'ru
大端,da'duan
大赋,da'fu
大感,da'gan
打诳语,da'kuang'yu
大似,da'si
大畜,da'xu
大异,da'yi
殆无,dai'wu
殆无宁日,dai'wu'ning'ri
殆已,dai'yi
谠论,dang'lun
导到,dao'dao
导归,dao'gui
导往,dao'wang
得此,de'ci
得自,de'zi
等处,deng'chu
登地,deng'di
等故,deng'gu
等事,deng'shi
等物,deng'wu
等言,deng'yan
等用,deng'yong
等语,deng'yu
第二义,di'er'yi
抵近,di'jin
觌面不识,di'mian'bu'shi
的实,di'shi
谛视,di'shi
第一流,di'yi'liu
底止,di'zhi
点铁成金,dian'tie'cheng'jin
定解,ding'jie
定例,ding'li
定量上,ding'liang'shang
定性上,ding'xing'shang
动嗔,dong'chen
东端,dong'duan
东西向,dong'xi'xiang
东至,dong'zhi
独不能,du'bu'neng
度越,du'yue
