阿尾奢法,a'wei'she'fa
阿字本不生,a'zi'ben'bu'sheng
阿字观,a'zi'guan
八千枚护摩供,ba'qian'mei'hu'mo'gong
八叶莲华观,ba'ye'lian'hua'guan
百万塔陀罗尼,bai'wan'ta'tuo'luo'ni
百字明修法,bai'zi'ming'xiu'fa
宝瓶气,bao'ping'qi
宝箧印陀罗尼,bao'qie'yin'tuo'luo'ni
北斗法,bei'dou'fa
闭关,bi'guan
别时念佛,bie'shi'nian'fo
不断念佛,bu'duan'nian'fo
不净观,bu'jing'guan
参禅,can'chan
参笼,can'long
忏法,chan'fa
称名念佛,cheng'ming'nian'fo
传法灌顶,chuan'fa'guan'ding
垂示,chui'shi
次第三观,ci'di'san'guan
大白伞盖佛母法,da'bai'san'gai'fo'mu'fa
大悲忏法,da'bei'chan'fa
大悲心陀罗尼,da'bei'xin'tuo'luo'ni
大慧刀,da'hui'dao
大礼拜,da'li'bai
达摩易筋经十二式,da'mo'yi'jin'jing'shi'er'shi
打七,da'qi
大手印,da'shou'yin
大随求陀罗尼,da'sui'qiu'tuo'luo'ni
大圆满,da'yuan'man
定印,ding'yin
法格崇拜,fa'ge'chong'bai
法华经法,fa'hua'jing'fa
甘露陀罗尼,gan'lu'tuo'luo'ni
功过格,gong'guo'ge
供曼达,gong'man'da
钩召法,gou'zhao'fa
骨锁观,gu'suo'guan
灌顶,guan'ding
观法,guan'fa
观佛,guan'fo
观音忏法,guan'yin'chan'fa
光明真言,guang'ming'zhen'yan
寒修行,han'xiu'xing
护摩,hu'mo
护身法,hu'shen'fa
幻观成就法,huan'guan'cheng'jiu'fa
欢喜天法,huan'xi'tian'fa
回峰行,hui'feng'xing
吉祥坐,ji'xiang'zuo
加持香水,jia'chi'xiang'shui
加持印明,jia'chi'yin'ming
降魔,jiang'mo
教观二门,jiao'guan'er'men
教外别传,jiao'wai'bie'zhuan
戒疤,jie'ba
戒灌顶,jie'guan'ding
结护,jie'hu
戒杀念佛,jie'sha'nian'fo
敬爱法,jing'ai'fa
经行,jing'xing
九想观,jiu'xiang'guan
九字印,jiu'zi'yin
看话念佛,kan'hua'nian'fo
离作业灌顶,li'zuo'ye'guan'ding
临终正念,lin'zhong'zheng'nian
六妙门,liu'miao'men
六事体功法,liu'shi'ti'gong'fa
六种拳印,liu'zhong'quan'yin
六字大明咒,liu'zi'da'ming'zhou
六字经法,liu'zi'jing'fa
明护,ming'hu
南山三观,nan'shan'san'guan
念佛,nian'fo
被甲护身,pi'jia'hu'shen
毗卢七支坐,pi'lu'qi'zhi'zuo
颇瓦法,po'wa'fa
普贤延命法,pu'xian'yan'ming'fa
七佛药师法,qi'fo'yao'shi'fa
七日作坛法,qi'ri'zuo'tan'fa
七支结护,qi'zhi'jie'hu
请雨经法,qing'yu'jing'fa
求闻持法,qiu'wen'chi'fa
燃指供养,ran'zhi'gong'yang
日想观,ri'xiang'guan
三部大法,san'bu'da'fa
三脉七轮,san'mai'qi'lun
三密加持,san'mi'jia'chi
三平等观,san'ping'deng'guan
三圣圆融观,san'sheng'yuan'rong'guan
三十七菩提分法,san'shi'qi'pu'ti'fen'fa
上师相应法,shang'shi'xiang'ying'fa
生圆二次第,sheng'yuan'er'ci'di
十八契印,shi'ba'qi'yin
释迦法,shi'jia'fa
十六特胜观,shi'liu'te'sheng'guan
时轮金刚法,shi'lun'jin'gang'fa
十念,shi'nian
十念处,shi'nian'chu
十牛图,shi'niu'tu
守护经法,shou'hu'jing'fa
数息观,shu'xi'guan
水观,shui'guan
水想观,shui'xiang'guan
四度加行,si'du'jia'xing
四归依,si'gui'yi
四级灌顶,si'ji'guan'ding
四加行,si'jia'xing
四念处,si'nian'chu
四时坐禅,si'shi'zuo'chan
四种拳,si'zhong'quan
体空观,ti'kong'guan
投华得佛,tou'hua'de'fo
土砂加持,tu'sha'jia'chi
陀罗尼,tuo'luo'ni
外五股印,wai'wu'gu'yin
往生咒,wang'sheng'zhou
五处加持,wu'chu'jia'chi
五股印,wu'gu'yin
五会念佛,wu'hui'nian'fo
五念门,wu'nian'men
五停心观,wu'ting'xin'guan
五相成身观,wu'xiang'cheng'shen'guan
五重唯识观,wu'zhong'wei'shi'guan
五种修法,wu'zhong'xiu'fa
五字严身观,wu'zi'yan'shen'guan
析空观,xi'kong'guan
息灾法,xi'zai'fa
消灾咒,xiao'zai'zhou
修道,xiu'dao
修法,xiu'fa
修行,xiu'xing
玄旨归命坛,xuan'zhi'gui'ming'tan
延命法,yan'ming'fa
仪轨,yi'gui
一向专修,yi'xiang'zhuan'xiu
一字咒,yi'zi'zhou
印可,yin'ke
印契,yin'qi
引声念佛,yin'sheng'nian'fo
隐形法,yin'xing'fa
有相观,you'xiang'guan
圆顿止观,yuan'dun'zhi'guan
缘起观,yuan'qi'guan
月轮观,yue'lun'guan
杂修十三失,za'xiu'shi'san'shi
增益法,zeng'yi'fa
镇将夜叉法,zhen'jiang'ye'cha'fa
止观,zhi'guan
只管打坐,zhi'guan'da'zuo
止雨法,zhi'yu'fa
咒,zhou
咒愿,zhou'yuan
助念,zhu'nian
字轮观,zi'lun'guan
自性清净佛性观,zi'xing'qing'jing'fo'xing'guan
尊胜法,zun'sheng'fa
坐禅,zuo'chan
作坛法,zuo'tan'fa
