阿赖耶识,a'lai'ye'shi
阿修罗道,a'xiu'luo'dao
北方莲花世界,bei'fang'lian'hua'shi'jie
本性,ben'xing
般若,bo're
禅定,chan'ding
忏悔,chan'hui
超度,chao'du
畜生道,chu'sheng'dao
大德,da'de
大日如来,da'ri'ru'lai
打坐,da'zuo
地狱道,di'yu'dao
顶礼,ding'li
东方妙喜世界,dong'fang'miao'xi'shi'jie
饿鬼道,e'gui'dao
阿弥陀佛,e'mi'tuo'fo
法华经,fa'hua'jing
法门,fa'men
法身,fa'shen
法身慧命,fa'shen'hui'ming
烦恼,fan'nao
佛教,fo'jiao
佛珠,fo'zhu
福报,fu'bao
功德,gong'de
功德主,gong'de'zhu
海青,hai'qing
合十,he'shi
合掌恭敬,he'zhang'gong'jing
慧命,hui'ming
回向,hui'xiang
偈子,ji'zi
加持,jia'chi
袈裟,jia'sha
戒定慧,jie'ding'hui
戒律,jie'lv
解脱,jie'tuo
金刚经,jin'gang'jing
精进,jing'jin
净瓶,jing'ping
净土法门,jing'tu'fa'men
鸠摩罗什,jiu'mo'luo'shen
开经偈,kai'jing'ji
开悟,kai'wu
苦集灭道,ku'ji'mie'dao
了脱生死,le'tuo'sheng'si
离苦得乐,li'ku'de'le
莲友,lian'you
六波罗蜜,liu'bo'luo'mi
迷信,mi'xin
密宗,mi'zong
南无,na'mo
南方欢喜世界,nan'fang'huan'xi'shi'jie
内魔,nei'mo
逆境,ni'jing
念经,nian'jing
涅槃,nie'pan
毗卢遮那佛,pi'lu'zhe'na'fo
菩提心,pu'ti'xin
蒲团,pu'tuan
清净心,qing'jing'xin
人道,ren'dao
忍辱,ren'ru
三净肉,san'jing'rou
三菩提,san'pu'ti
三十七助道品,san'shi'qi'zhu'dao'pin
杀生,sha'sheng
善知识,shan'zhi'shi
生死书,sheng'si'shu
释迦牟尼佛,shi'jia'mou'ni'fo
施食,shi'shi
四圣谛,si'sheng'di
诵经,song'jing
素食,su'shi
索达吉堪布,suo'da'ji'kan'bu
天道,tian'dao
外魔,wai'mo
五方佛,wu'fang'fo
五方如来,wu'fang'ru'lai
五戒十善,wu'jie'shi'shan
无漏,wu'lou
无明,wu'ming
无始及以来,wu'shi'ji'yi'lai
无始劫,wu'shi'jie
五辛,wu'xin
五智佛,wu'zhi'fo
西方极乐世界,xi'fang'ji'le'shi'jie
修行,xiu'xing
业障,ye'zhang
业障凡夫,ye'zhang'fan'fu
幽冥界,you'ming'jie
玉琳国师,yu'lin'guo'shi
咒语,zhou'yu
诸法无我诸行无常,zhu'fa'wu'wo'zhu'xing'wu'chang
自性,zi'xing
罪业,zui'ye
