阿罗汉,a'luo'han
阿罗汉等所居国土,a'luo'han'deng'suo'ju'guo'tu
阿弥陀国,a'mi'tuo'guo
阿难,a'nan
阿难白佛,a'nan'bai'fo
阿难白言,a'nan'bai'yan
阿难当知,a'nan'dang'zhi
阿难谛听,a'nan'di'ting
阿难对曰,a'nan'dui'yue
阿难即从座起,a'nan'ji'cong'zuo'qi
阿难及诸菩萨众等,a'nan'ji'zhu'pu'sa'zhong'deng
阿难闻佛所说,a'nan'wen'fo'suo'shuo
阿难闻已,a'nan'wen'yi
阿难应知,a'nan'ying'zhi
阿耨多罗三藐三菩提,a'nou'duo'luo'san'miao'san'pu'ti
阿耨多罗三藐三菩提心,a'nou'duo'luo'san'miao'san'pu'ti'xin
阿阇王子,a'she'wang'zi
阿修罗等,a'xiu'luo'deng
阿逸多,a'yi'duo
爱保贪重,ai'bao'tan'zhong
爱欲荣华,ai'yu'rong'hua
哀哉可伤,ai'zai'ke'shang
岸边无数栴檀香树,an'bian'wu'shu'zhan'tan'xiang'shu
安定徐为,an'ding'xu'wei
安和调适,an'he'tiao'shi
安隐得大利,an'yin'de'da'li
安隐光,an'yin'guang
安住不生不灭,an'zhu'bu'sheng'bu'mie
安住神通,an'zhu'shen'tong
安住一切功德法中,an'zhu'yi'qie'gong'de'fa'zhong
八不贪,ba'bu'tan
拔断生死众恶之本,ba'duan'sheng'si'zhong'e'zhi'ben
八方上下,ba'fang'shang'xia
拔生死之苦,ba'sheng'si'zhi'ku
八十种好,ba'shi'zhong'hao
八音畅妙声,ba'yin'chang'miao'sheng
拔诸爱欲,ba'zhu'ai'yu
拔诸勤苦生死根本,ba'zhu'qin'ku'sheng'si'gen'ben
败坏贤明,bai'huai'xian'ming
败悔在后,bai'hui'zai'hou
百千光色,bai'qian'guang'se
百千俱胝那由他佛刹,bai'qian'ju'zhi'na'you'ta'fo'sha
百千俱胝那由他国,bai'qian'ju'zhi'na'you'ta'guo
百千妙色,bai'qian'miao'se
百千万劫不能穷尽,bai'qian'wan'jie'bu'neng'qiong'jin
百千万劫难遭遇,bai'qian'wan'jie'nan'zao'yu
百千万色,bai'qian'wan'se
百千万亿,bai'qian'wan'yi
白色白光,bai'se'bai'guang
白世尊言,bai'shi'zun'yan
百味饮食自然盈满,bai'wei'yin'shi'zi'ran'ying'man
白言世尊,bai'yan'shi'zun
白银为身,bai'yin'wei'shen
宝刹庄严,bao'cha'zhuang'yan
宝莲佛光第二十一,bao'lian'fo'guang'di'er'shi'yi
苞罗表里,bao'luo'biao'li
宝沙映澈,bao'sha'ying'che
宝树遍国第十四,bao'shu'bian'guo'di'shi'si
宝网弥覆,bao'wang'mi'fu
宝香普熏愿,bao'xiang'pu'xun'yuan
宝英菩萨,bao'ying'pu'sa
宝帐金床,bao'zhang'jin'chuang
宝幢菩萨,bao'zhuang'pu'sa
被弘誓铠,bei'hong'shi'kai
备受危苦,bei'shou'wei'ku
本其前世求道,ben'qi'qian'shi'qiu'dao
本其为菩萨时,ben'qi'wei'pu'sa'shi
本愿力故,ben'yuan'li'gu
必成如是刹,bi'cheng'ru'shi'sha
必成正觉第七,bi'cheng'zheng'jue'di'qi
彼处华胎,bi'chu'hua'tai
必得超绝去,bi'de'chao'jue'qu
彼等所种善根,bi'deng'suo'zhong'shan'gen
彼等为我弟子,bi'deng'wei'wo'di'zi
比第六天,bi'di'liu'tian
彼二菩萨,bi'er'pu'sa
彼佛光明,bi'fo'guang'ming
彼佛国土,bi'fo'guo'tu
彼佛国中,bi'fo'guo'zhong
彼佛国中诸菩萨众,bi'fo'guo'zhong'zhu'pu'sa'zhong
彼佛会中声闻之数,bi'fo'hui'zhong'sheng'wen'zhi'shu
彼佛净刹,bi'fo'jing'sha
