阿难陀,a'nan'tuo
阿㝹楼驮,a'nou'lou'tuo
阿逸多菩萨,a'yi'duo'pu'sa
八功德水,ba'gong'de'shui
八圣道分,ba'sheng'dao'fen
白鹤,bai'he
白色白光,bai'se'bai'guang
薄拘罗,bao'ju'luo
宝相佛,bao'xiang'fo
北方世界,bei'fang'shi'jie
彼佛光明无量,bi'fo'guang'ming'wu'liang
彼佛国土,bi'fo'guo'tu
彼佛国土成就如是功德庄严,bi'fo'guo'tu'cheng'jiu'ru'shi'gong'de'zhuang'yan
彼佛国土无三恶道,bi'fo'guo'tu'wu'san'e'dao
彼佛何故号阿弥陀,bi'fo'he'gu'hao'a'mi'tuo
彼佛寿命,bi'fo'shou'ming
彼佛有无量无边声闻弟子,bi'fo'you'wu'liang'wu'bian'sheng'wen'di'zi
彼国常有种种奇妙杂色之鸟,bi'guo'chang'you'zhong'zhong'qi'miao'za'se'zhi'niao
彼土何故名为极乐,bi'tu'he'gu'ming'wei'ji'le
遍覆三千大千世界,bian'fu'san'qian'da'qian'shi'jie
变化所作,bian'hua'suo'zuo
宾头卢颇罗堕,bin'tou'lu'po'luo'duo
并诸菩萨摩诃萨,bing'zhu'pu'sa'mo'he'sa
玻璃,bo'li
玻璃合成,bo'li'he'cheng
不可以少善根福德因缘,bu'ke'yi'shao'shan'gen'fu'de'yin'yuan
常精进菩萨,chang'jing'jin'pu'sa
常以清旦,chang'yi'qing'dan
常作天乐,chang'zuo'tian'le
砗磲,che'qu
池底纯以金沙布地,chi'di'chun'yi'jin'sha'bu'di
持法佛,chi'fa'fo
赤色赤光,chi'se'chi'guang
池中莲华,chi'zhong'lian'hua
赤珠,chi'zhu
充满其中,chong'man'qi'zhong
出广长舌相,chu'guang'chang'she'xiang
出和雅音,chu'he'ya'yin
出微妙音,chu'wei'miao'yin
从是西方,cong'shi'xi'fang
大光佛,da'guang'fo
大明佛,da'ming'fo
达摩佛,da'mo'fo
大如车轮,da'ru'che'lun
大须弥佛,da'xu'mi'fo
大焰肩佛,da'yan'jian'fo
但可以无量无边阿僧祇说,dan'ke'yi'wu'liang'wu'bian'a'seng'chi'shuo
但受诸乐,dan'shou'zhu'le
当信是称赞不可思议功德一切诸佛所护念经,dang'xin'shi'cheng'zan'bu'ke'si'yi'gong'de'yi'qie'zhu'fo'suo'hu'nian'jing
得生彼国,de'sheng'bi'guo
得与如是诸上善人,de'yu'ru'shi'zhu'shang'shan'ren
东方亦有阿閦鞞佛,dong'fang'yi'you'a'chu'pi'fo
阿弥陀佛成佛以来,a'mi'tuo'fo'cheng'fo'yi'lai
阿弥陀佛与诸圣众,a'mi'tuo'fo'yu'zhu'sheng'zhong
尔时佛告长老舍利弗,er'shi'fo'gao'zhang'lao'she'li'fu
法幢佛,fa'zhuang'fo
饭食经行,fan'shi'jing'xing
非是算数所能知之,fei'shi'suan'shu'suo'neng'zhi'zhi
非是算数之所能知,fei'shi'suan'shu'zhi'suo'neng'zhi
佛说阿弥陀经,fo'shuo'a'mi'tuo'jing
复次舍利弗,fu'ci'she'li'fu
各以衣裓,ge'yi'yi'ge
各于其国,ge'yu'qi'guo
共命之鸟,gong'ming'zhi'niao
供养他方十万亿佛,gong'yang'ta'fang'shi'wan'yi'fo
故名阿弥陀,gu'ming'a'mi'tuo
故名极乐,gu'ming'ji'le
故说此言,gu'shuo'ci'yan
过十万亿佛土,guo'shi'wan'yi'fo'tu
还到本国,hai'dao'ben'guo
号阿弥陀,hao'a'mi'tuo
何况有实,he'kuang'you'shi
黄金为地,huang'jin'wei'di
黄色黄光,huang'se'huang'guang
及宝罗网,ji'bao'luo'wang
即得往生阿弥陀佛极乐国土,ji'de'wang'sheng'a'mi'tuo'fo'ji'le'guo'tu
极乐国土,ji'le'guo'tu
极乐国土成就如是功德庄严,ji'le'guo'tu'cheng'jiu'ru'shi'gong'de'zhuang'yan
及其人民,ji'qi'ren'min
及释提桓因等,ji'shi'ti'huan'yin'deng
即以食时,ji'yi'shi'shi
迦陵频伽,jia'ling'pin'qie
迦留陀夷,jia'liu'tuo'yi
憍梵波提,jiao'fan'bo'ti
皆阿罗汉,jie'a'luo'han
皆是阿鞞跋致,jie'shi'a'pi'ba'zhi
皆是大阿罗汉,jie'shi'da'a'luo'han
皆是阿弥陀佛欲令法音宣流,jie'shi'a'mi'tuo'fo'yu'ling'fa'yin'xuan'liu
皆是四宝周匝围绕,jie'shi'si'bao'zhou'za'wei'rao
皆悉念佛,jie'xi'nian'fo
金,jin
今现在说法,jin'xian'zai'shuo'fa
净光佛,jing'guang'fo
俱会一处,ju'hui'yi'chu
孔雀,kong'que
离婆多,li'po'duo
琉璃,liu'li
罗睺罗,luo'hou'luo
玛瑙而严饰之,ma'nao'er'yan'shi'zhi
妙音佛,miao'yin'fo
名光佛,ming'guang'fo
名闻佛,ming'wen'fo
名闻光佛,ming'wen'guang'fo
摩诃迦叶,mo'he'jia'ye
摩诃迦旃延,mo'he'jia'zhan'yan
摩诃劫宾那,mo'he'jie'bin'na
摩诃俱絺罗,mo'he'ju'chi'luo
摩诃目犍连,mo'he'mu'jian'lian
南方世界,nan'fang'shi'jie
难沮佛,nan'ju'fo
难陀,nan'tuo
念法,nian'fa
念僧,nian'seng
念僧之心,nian'seng'zhi'xin
譬如百千种乐,pi'ru'bai'qian'zhong'le
七重行树,qi'chong'hang'shu
七重栏楯,qi'chong'lan'xun
七重罗网,qi'chong'luo'wang
其佛国土,qi'fo'guo'tu
其佛国土成就如是功德庄严,qi'fo'guo'tu'cheng'jiu'ru'shi'gong'de'zhuang'yan
其国众生,qi'guo'zhong'sheng
七菩提分,qi'pu'ti'fen
其人临命终时,qi'ren'lin'ming'zhong'shi
其数甚多,qi'shu'shen'duo
其土有佛,qi'tu'you'fo
其土众生,qi'tu'zhong'sheng
其音演畅五根,qi'yin'yan'chang'wu'gen
其中多有一生补处,qi'zhong'duo'you'yi'sheng'bu'chu
乾陀诃提菩萨,qian'tuo'he'ti'pu'sa
青色青光,qing'se'qing'guang
日生佛,ri'sheng'fo
汝等众生,ru'deng'zhong'sheng
如是等法,ru'shi'deng'fa
如是等恒河沙数诸佛,ru'shi'deng'heng'he'sha'shu'zhu'fo
如是等诸大弟子,ru'shi'deng'zhu'da'di'zi
如是我闻,ru'shi'wo'wen
如我今者,ru'wo'jin'zhe
汝勿谓此鸟实是罪报所生,ru'wu'wei'ci'niao'shi'shi'zui'bao'suo'sheng
若二日,ruo'er'ri
若六日,ruo'liu'ri
若七日,ruo'qi'ri
若三日,ruo'san'ri
若四日,ruo'si'ri
若五日,ruo'wu'ri
若一日,ruo'yi'ri
若有善男子,ruo'you'shan'nan'zi
若有众生闻是说者,ruo'you'zhong'sheng'wen'shi'shuo'zhe
善女人,shan'nv'ren
上方世界,shang'fang'shi'jie
