白环俞,bai'huan'shu
白环俞穴,bai'huan'shu'xue
百会,bai'hui
百会穴,bai'hui'xue
胞肓,bao'huang
胞肓穴,bao'huang'xue
本神,ben'shen
本神穴,ben'shen'xue
髀关,bi'guan
髀关穴,bi'guan'xue
臂臑,bi'nao
臂臑穴,bi'nao'xue
秉风,bing'feng
秉风穴,bing'feng'xue
步廊,bu'lang
步廊穴,bu'lang'xue
不容,bu'rong
不容穴,bu'rong'xue
长强,chang'qiang
长强穴,chang'qiang'xue
承扶,cheng'fu
承扶穴,cheng'fu'xue
承光,cheng'guang
承光穴,cheng'guang'xue
承浆,cheng'jiang
承浆穴,cheng'jiang'xue
承筋,cheng'jin
承筋穴,cheng'jin'xue
承灵,cheng'ling
承灵穴,cheng'ling'xue
承满,cheng'man
承满穴,cheng'man'xue
承泣,cheng'qi
承泣穴,cheng'qi'xue
承山,cheng'shan
承山穴,cheng'shan'xue
瘛脉,chi'mai
瘛脉穴,chi'mai'xue
尺泽,chi'ze
尺泽穴,chi'ze'xue
冲门,chong'men
冲门穴,chong'men'xue
冲阳,chong'yang
冲阳穴,chong'yang'xue
次髎,ci'liao
次髎穴,ci'liao'xue
攒竹,cuan'zhu
攒竹穴,cuan'zhu'xue
大包,da'bao
大包穴,da'bao'xue
大肠俞,da'chang'shu
大肠俞穴,da'chang'shu'xue
大都,da'du
大都穴,da'du'xue
大敦,da'dun
大敦穴,da'dun'xue
大赫,da'he
大赫穴,da'he'xue
大横,da'heng
大横穴,da'heng'xue
大巨,da'ju
大巨穴,da'ju'xue
大陵,da'ling
大陵穴,da'ling'xue
大迎,da'ying
大迎穴,da'ying'xue
大钟,da'zhong
大钟穴,da'zhong'xue
大柱,da'zhu
大柱穴,da'zhu'xue
大椎,da'zhui
大椎穴,da'zhui'xue
带脉,dai'mai
带脉穴,dai'mai'xue
胆俞,dan'shu
胆俞穴,dan'shu'xue
膻中,dan'zhong
膻中穴,dan'zhong'xue
地仓,di'cang
地仓穴,di'cang'xue
地机,di'ji
地机穴,di'ji'xue
地五会,di'wu'hui
地五会穴,di'wu'hui'xue
犊鼻,du'bi
犊鼻穴,du'bi'xue
督俞,du'shu
督俞穴,du'shu'xue
兑端,dui'duan
兑端穴,dui'duan'xue
二间,er'jian
二间穴,er'jian'xue
耳门,er'men
耳门穴,er'men'xue
肺俞,fei'shu
肺俞穴,fei'shu'xue
飞扬,fei'yang
飞扬穴,fei'yang'xue
风池,feng'chi
风池穴,feng'chi'xue
风府,feng'fu
风府穴,feng'fu'xue
丰隆,feng'long
丰隆穴,feng'long'xue
风门,feng'men
风门穴,feng'men'xue
风市,feng'shi
风市穴,feng'shi'xue
腹哀,fu'ai
腹哀穴,fu'ai'xue
浮白,fu'bai
浮白穴,fu'bai'xue
附分,fu'fen
附分穴,fu'fen'xue
腹结,fu'jie
腹结穴,fu'jie'xue
复溜,fu'liu
复溜穴,fu'liu'xue
府舍,fu'she
府舍穴,fu'she'xue
腹通谷,fu'tong'gu
腹通谷穴,fu'tong'gu'xue
伏兔,fu'tu
扶突,fu'tu
伏兔穴,fu'tu'xue
扶突穴,fu'tu'xue
浮郄,fu'xi
浮郄穴,fu'xi'xue
跗阳,fu'yang
跗阳穴,fu'yang'xue
肝俞,gan'shu
肝俞穴,gan'shu'xue
膏肓,gao'huang
膏肓穴,gao'huang'xue
膈关,ge'guan
膈关穴,ge'guan'xue
膈俞,ge'shu
膈俞穴,ge'shu'xue
公孙,gong'sun
公孙穴,gong'sun'xue
关冲,guan'chong
关冲穴,guan'chong'xue
关门,guan'men
关门穴,guan'men'xue
关元,guan'yuan
关元俞,guan'yuan'shu
关元俞穴,guan'yuan'shu'xue
关元穴,guan'yuan'xue
光明,guang'ming
光明穴,guang'ming'xue
归来,gui'lai
归来穴,gui'lai'xue
颔厌,han'yan
颔厌穴,han'yan'xue
行间,hang'jian
行间穴,hang'jian'xue
合谷,he'gu
合谷穴,he'gu'xue
和髎,he'liao
禾髎,he'liao
和髎穴,he'liao'xue
禾髎穴,he'liao'xue
合阳,he'yang
合阳穴,he'yang'xue
横骨,heng'gu
横骨穴,heng'gu'xue
后顶,hou'ding
后顶穴,hou'ding'xue
后溪,hou'xi
后溪穴,hou'xi'xue
华盖,hua'gai
