阿唎耶,a'li'ye
阿啰嘇,a'la'can
阿穆佉耶,a'mu'qu'ye
阿婆卢醯,a'po'lu'xi
阿逝孕,a'shi'yun
阿悉陀夜,a'xi'tuo'ye
跋陀耶,ba'tuo'ye
波陀摩,bo'tuo'mo
波夜摩那,bo'ye'mo'na
怛侄他,da'zhi'ta
地唎尼,di'li'ni
地利瑟尼那,di'li'se'ni'na
豆输朋,dou'shu'peng
度卢度卢,du'lu'du'lu
哆啰夜,duo'la'ye
罚闍耶帝,fa'she'ye'di
罚摩啰,fa'mo'la
罚沙罚嘇,fa'sha'fa'can
佛啰舍利,fo'la'she'li
佛啰舍耶,fo'la'she'ye
喝啰怛那,he'la'da'na
呼嚧呼嚧摩啰,hu'lu'hu'lu'mo'la
呼嚧呼嚧醯利,hu'lu'hu'lu'xi'li
迦罗帝,jia'luo'di
羯蒙,jie'meng
羯悉陀夜,jie'xi'tuo'ye
唎驮孕俱卢俱卢,li'tuo'yun'ju'lu'ju'lu
卢迦帝,lu'jia'di
漫多啰,man'duo'la
弥帝唎夜,mi'di'li'ye
摩罚特豆,mo'fa'te'dou
摩诃罚闍耶帝,mo'he'fa'she'ye'di
摩诃迦卢尼迦耶,mo'he'jia'lu'ni'jia'ye
摩诃菩提萨埵萨婆萨婆,mo'he'pu'ti'sa'duo'sa'po'sa'po
摩诃萨埵婆耶,mo'he'sa'duo'po'ye
摩诃悉陀夜,mo'he'xi'tuo'ye
摩啰摩啰摩醯摩醯,mo'la'mo'la'mo'xi'mo'xi
摩啰那啰,mo'la'na'la
摩麽,mo'mo
摩婆利,mo'po'li
穆帝隶,mu'di'li
那啰谨墀,na'la'jin'chi
南无,na'mo
南无阿唎耶,na'mo'a'li'ye
南无喝啰怛那哆啰夜耶,na'mo'he'la'da'na'duo'la'ye'ye
那摩婆伽,na'mo'po'qie
那摩婆萨哆,na'mo'po'sa'duo
南无悉吉栗埵,na'mo'xi'ji'li'duo
皤伽啰耶,po'qie'la'ye
婆卢羯帝,po'lu'jie'di
菩提萨埵婆耶,pu'ti'sa'duo'po'ye
菩提夜,pu'ti'ye
菩驮夜,pu'tuo'ye
萨婆阿他,sa'po'a'ta
萨皤啰罚曳,sa'po'la'fa'ye
萨婆萨哆,sa'po'sa'duo
胜羯啰夜,sheng'jie'la'ye
室佛啰愣驮婆,shi'fo'la'leng'tuo'po
室佛啰耶,shi'fo'la'ye
室那室那,shi'na'shi'na
室皤啰耶,shi'po'la'ye
数怛那怛写,shu'da'na'da'xie
烁钵啰耶,shuo'bo'la'ye
烁皤啰夜,shuo'po'la'ye
苏嚧苏嚧,su'lu'su'lu
娑啰娑啰,suo'la'suo'la
娑婆诃,suo'po'he
娑婆摩诃,suo'po'mo'he
陀啰陀啰,tuo'la'tuo'la
悉殿都,xi'dian'dou
醯利摩诃皤哆沙咩,xi'li'mo'he'po'duo'sha'mie
悉唎悉唎,xi'li'xi'li
悉啰僧,xi'la'seng
悉陀夜,xi'tuo'ye
悉陀喻艺,xi'tuo'yu'yi
伊蒙阿唎耶,yi'meng'a'li'ye
夷醯唎,yi'xi'li
伊醯伊醯,yi'xi'yi'xi
者吉啰,zhe'ji'la
遮啰遮啰,zhe'la'zhe'la
