凹凸,ao'tu
白斑,bai'ban
白色,bai'se
北京手道堂中医药研究院,bei'jing'shou'dao'tang'zhong'yi'yao'yan'jiu'yuan
本性线,ben'xing'xian
閉合型紋理,bi'he'xing'wen'li
闭合型纹理,bi'he'xing'wen'li
变色,bian'se
變色,bian'se
辨證定理,bian'zheng'ding'li
辨证定理,bian'zheng'ding'li
标色,biao'se
標色,biao'se
病色,bing'se
病紋,bing'wen
病纹,bing'wen
病線,bing'xian
病线,bing'xian
病线定性,bing'xian'ding'xing
肠道区,chang'dao'qu
腸道區,chang'dao'qu
常色,chang'se
赤白肉际,chi'bai'rou'ji
赤白肉際,chi'bai'rou'ji
创伤纹,chuang'shang'wen
大肠段,da'chang'duan
大腸段,da'chang'duan
大肠区,da'chang'qu
大小,da'xiao
大魚際,da'yu'ji
大鱼际,da'yu'ji
胆段,dan'duan
膽段,dan'duan
岛形纹,dao'xing'wen
島形紋,dao'xing'wen
第二指縫,di'er'zhi'feng
第二指缝,di'er'zhi'feng
第二指縫線,di'er'zhi'feng'xian
第二指缝线,di'er'zhi'feng'xian
第三指縫,di'san'zhi'feng
第三指缝,di'san'zhi'feng
第三指縫線,di'san'zhi'feng'xian
第三指缝线,di'san'zhi'feng'xian
地紋,di'wen
地纹,di'wen
第一指縫,di'yi'zhi'feng
第一指缝,di'yi'zhi'feng
第一指縫線,di'yi'zhi'feng'xian
第一指缝线,di'yi'zhi'feng'xian
电信分界比例,dian'xin'fen'jie'bi'li
电信干扰度,dian'xin'gan'rao'du
电信基准比率,dian'xin'ji'zhun'bi'lv
叠加定理,die'jia'ding'li
疊加定理,die'jia'ding'li
抖僵,dou'jiang
斗纹,dou'wen
斗形纹,dou'xing'wen
兑区,dui'qu
樊紅傑,fan'gong'jie
樊红杰,fan'hong'jie
方格形紋,fang'ge'xing'wen
方格形纹,fang'ge'xing'wen
肺段,fei'duan
肺功能区,fei'gong'neng'qu
肺器质区,fei'qi'zhi'qu
肺区,fei'qu
肺區,fei'qu
分段辩证,fen'duan'bian'zheng
分段辯證,fen'duan'bian'zheng
風流線,feng'liu'xian
风流线,feng'liu'xian
佛心紋,fo'xin'wen
佛心纹,fo'xin'wen
浮沉,fu'chen
輔線,fu'xian
辅线,fu'xian
辅线辨因,fu'xian'bian'yin
肝胆垃圾毒素,gan'dan'la'ji'du'su
肝膽垃圾毒素,gan'dan'la'ji'du'su
肝胆区,gan'dan'qu
肝膽區,gan'dan'qu
肝胆纹,gan'dan'wen
肝胆线,gan'dan'xian
肝膽線,gan'dan'xian
肝段,gan'duan
感情線,gan'qing'xian
感情线,gan'qing'xian
干湿,gan'shi
幹濕,gan'shi
艮区,gen'qu
艮區,gen'qu
艮震纹,gen'zhen'wen
艮震線,gen'zhen'xian
艮震线,gen'zhen'xian
紅色,gong'se
过度纹,guo'du'wen
过度线,guo'du'xian
過度線,guo'du'xian
褐斑,he'ban
黑斑,hei'ban
黑色,hei'se
横切纹,heng'qie'wen
橫切紋,heng'qie'wen
红斑,hong'ban
红色,hong'se
环弧线,huan'hu'xian
环指,huan'zhi
環指,huan'zhi
黃色,huang'se
黄色,huang'se
婚姻線,hun'yin'xian
婚姻线,hun'yin'xian
火形手,huo'xing'shou
疾病隐患,ji'bing'yin'huan
激素区,ji'su'qu
激素區,ji'su'qu
箕纹,ji'wen
箕形纹,ji'xing'wen
假通貫,jia'tong'guan
假通贯,jia'tong'guan
甲象,jia'xiang
甲象九畴,jia'xiang'jiu'chou
甲象九疇,jia'xiang'jiu'chou
甲象特征,jia'xiang'te'zheng
渐减定理,jian'jian'ding'li
漸減定理,jian'jian'ding'li
健康線,jian'kang'xian
健康线,jian'kang'xian
交叉状纹,jiao'cha'zhuang'wen
交叉狀紋,jiao'cha'zhuang'wen
交友線,jiao'you'xian
交友线,jiao'you'xian
金形手,jin'xing'shou
精神紧张段,jing'shen'jin'zhang'duan
精神緊張段,jing'shen'jin'zhang'duan
精神思維區,jing'shen'si'wei'qu
