八风穴,ba'feng'xue
八邪穴,ba'xie'xue
百虫窝穴,bai'chong'wo'xue
大骨空穴,da'gu'kong'xue
胆囊穴,dan'nang'xue
当阳穴,dang'yang'xue
定喘穴,ding'chuan'xue
独阴穴,du'yin'xue
二白穴,er'bai'xue
耳尖穴,er'jian'xue
海泉穴,hai'quan'xue
鹤顶穴,he'ding'xue
夹脊穴,jia'ji'xue
金津穴,jin'jin'xue
颈百劳穴,jing'bai'lao'xue
聚泉穴,ju'quan'xue
髋骨穴,kuan'gu'xue
阑尾穴,lan'wei'xue
内踝尖穴,nei'huai'jian'xue
内膝眼穴,nei'xi'yan'xue
内迎香穴,nei'ying'xiang'xue
痞根穴,pi'gen'xue
气喘穴,qi'chuan'xue
球后穴,qiu'hou'xue
上迎香穴,shang'ying'xiang'xue
十七椎穴,shi'qi'zhui'xue
十宣穴,shi'xuan'xue
四缝穴,si'feng'xue
四神聪穴,si'shen'cong'xue
太阳穴,tai'yang'xue
外踝尖穴,wai'huai'jian'xue
外劳宫穴,wai'lao'gong'xue
胃脘下俞穴,wei'wan'xia'shu'xue
膝眼穴,xi'yan'xue
下极俞穴,xia'ji'shu'xue
小骨空穴,xiao'gu'kong'xue
腰奇穴,yao'qi'xue
腰痛点穴,yao'tong'dian'xue
腰眼穴,yao'yan'xue
腰宜穴,yao'yi'xue
翳明穴,yi'ming'xue
印堂穴,yin'tang'xue
鱼腰穴,yu'yao'xue
玉液穴,yu'ye'xue
中魁穴,zhong'kui'xue
中泉穴,zhong'quan'xue
肘尖穴,zhou'jian'xue
子宫穴,zi'gong'xue
